Genus;Results from;Occurences
PROCHLOROCOCCUS;Train Model Adjusted Occurences;1.0031771107048733
ALTEROMONADALES_GENUS;Train Model Adjusted Occurences;1.1180449001802337
HALOVENUS;Train Model Adjusted Occurences;1.0037141493834127
ACIDISOMA;Train Model Adjusted Occurences;2.000127531882514
NITROSOSPHAERA;Train Model Adjusted Occurences;1.271685996752621
CHLOROFLEXI_S085_GENUS;Train Model Adjusted Occurences;3.0707138510649443
HELIOBACTERIUM;Train Model Adjusted Occurences;1.0001261942883088
PEREDIBACTER;Train Model Adjusted Occurences;3.0002700159990026
PSEUDONOCARDIA;Train Model Adjusted Occurences;6.003400805243006
TESSARACOCCUS;Train Model Adjusted Occurences;1.0000824752585404
RHODOVASTUM;Train Model Adjusted Occurences;1.0011031942379842
LIMNOHABITANS;Train Model Adjusted Occurences;3.000293536708568
DEHALOCOCCOIDACEAE_GENUS;Train Model Adjusted Occurences;1.0016097162054334
PONTICAULIS;Train Model Adjusted Occurences;1.001092328748822
THERMOMONAS;Train Model Adjusted Occurences;2.0025736826030824
CHLOROFLEXUS;Train Model Adjusted Occurences;1.0004881112152841
[ANAERORHABDUS]_FURCOSA_GROUP;Train Model Adjusted Occurences;1.0003170895342075
ANAERORHABDUS;Train Model Adjusted Occurences;1.0077442925407514
GALBIBACTER;Train Model Adjusted Occurences;1.0001365582158934
HUMITALEA;Train Model Adjusted Occurences;1.000701261105756
SPHAERISPORANGIUM;Train Model Adjusted Occurences;1.0002451181241672
CATABACTER;Train Model Adjusted Occurences;1.0001623865693354
MYROIDES;Train Model Adjusted Occurences;1.000152625323496
DESULFOVIRGULA;Train Model Adjusted Occurences;1.000093281793335
DESULFURISPIRILLUM;Train Model Adjusted Occurences;1.0006564545583476
METHANOCOCCUS;Train Model Adjusted Occurences;1.0016518531551037
CELERINATANTIMONAS;Train Model Adjusted Occurences;1.001468655065327
CORIOBACTERIA;Train Model Adjusted Occurences;0.002464260289231035
CONEXIBACTER;Train Model Adjusted Occurences;0.7471809487389806
PSEUDOHALIEA;Train Model Adjusted Occurences;1.004123859651487
ALCANIVORAX;Train Model Adjusted Occurences;2.0081163569982596
KOPRIIMONAS;Train Model Adjusted Occurences;1.3522707999734325
CYTOPHAGACEAE_GENUS;Train Model Adjusted Occurences;1.0018776252213795
ALGIMONAS;Train Model Adjusted Occurences;1.0006013545188772
KAISTIA;Train Model Adjusted Occurences;1.0055238072737147
KORDIIMONAS;Train Model Adjusted Occurences;1.0005079282505625
SPHINGOMONADACEAE_GENUS;Train Model Adjusted Occurences;1.2314497263164308
BURKHOLDERIA;Train Model Adjusted Occurences;1.7190974435621043
HOLOPHAGA;Train Model Adjusted Occurences;2.0004524132014367
THIOCAPSA;Train Model Adjusted Occurences;1.0552114560873356
PARAPEDOBACTER;Train Model Adjusted Occurences;2.0000180071955342
MAGNETOSPIRILLUM;Train Model Adjusted Occurences;3.006049064604511
KRASILNIKOVIA;Train Model Adjusted Occurences;0.0005772365632367664
MICROBULBIFER;Train Model Adjusted Occurences;2.0003918274796333
DESULFOBACULA;Train Model Adjusted Occurences;1.0000103199518013
SUCCINIMONAS;Train Model Adjusted Occurences;1.0156798287311954
CONSTRICTIBACTER;Train Model Adjusted Occurences;2.002473210388972
SIPHONOBACTER;Train Model Adjusted Occurences;1.0000161403671453
LEGIONELLACEAE_GENUS;Train Model Adjusted Occurences;2.755701500386534
JEOTGALIBACA;Train Model Adjusted Occurences;1.0001256208154121
METHYLOCOCCUS;Train Model Adjusted Occurences;1.00431155089739
ESCHERICHIA;Train Model Adjusted Occurences;0.7149288311295494
RHEINHEIMERA;Train Model Adjusted Occurences;2.1531762250555158
MICROCOCCACEAE_GENUS;Train Model Adjusted Occurences;2.4116685941299574
BUTTIAUXELLA;Train Model Adjusted Occurences;0.2142044335554374
PSYCHROSERPENS;Train Model Adjusted Occurences;1.000080809213726
XENOPHILUS;Train Model Adjusted Occurences;1.0007797390724442
KRIBBELLA;Train Model Adjusted Occurences;1.0003447393758407
PUSILLIMONAS;Train Model Adjusted Occurences;1.1597826057905714
PYRAMIDOBACTER;Train Model Adjusted Occurences;1.0000443390630829
JEOTGALIBACILLUS;Train Model Adjusted Occurences;0.00014077210119398022
PSEUDOPEDOBACTER;Train Model Adjusted Occurences;0.2755873399667113
PERLUCIDIBACA;Train Model Adjusted Occurences;1.0047638125112637
PSEUDORAMIBACTER;Train Model Adjusted Occurences;1.001593794137492
NITROSPIRAE_GENUS;Train Model Adjusted Occurences;1.0018229899186704
NOCARDIOPSIS;Train Model Adjusted Occurences;2.0003685602987673
HAZENELLA;Train Model Adjusted Occurences;1.0002556095243207
TETRASPHAERA;Train Model Adjusted Occurences;2.0000142041413334
KITASATOSPORA;Train Model Adjusted Occurences;2.5995937103453066
REINEKEA;Train Model Adjusted Occurences;1.0024633171020432
NODULARIA;Train Model Adjusted Occurences;1.000378676900032
SUBSAXIBACTER_;Train Model Adjusted Occurences;0.6103162692075774
SERINICOCCUS;Train Model Adjusted Occurences;1.0001712399709943
CAENISPIRILLUM;Train Model Adjusted Occurences;1.0003956002461754
NITRATIREDUCTOR;Train Model Adjusted Occurences;1.346524188055636
HALOPLASMA;Train Model Adjusted Occurences;1.0276855497532966
RIKENELLACEAE_U29-B03;Train Model Adjusted Occurences;2.0006170487322255
AMMONIPHILUS;Train Model Adjusted Occurences;1.001615410501251
MIZUGAKIIBACTER;Train Model Adjusted Occurences;1.5772972749757959
ORNITHINICOCCUS;Train Model Adjusted Occurences;1.0000012281316506
SHEWANELLA;Train Model Adjusted Occurences;1.0087943534475485
NATRANAEROBACULUM;Train Model Adjusted Occurences;1.0004342240890907
NOSOCOMIICOCCUS;Train Model Adjusted Occurences;2.0052258495122093
PARARHODOSPIRILLUM;Train Model Adjusted Occurences;1.0006569099034022
SULFURICURVUM;Train Model Adjusted Occurences;1.7630749685082712
HALADAPTATUS;Train Model Adjusted Occurences;1.0002817398461208
METHANOCORPUSCULUM;Train Model Adjusted Occurences;1.0001337488200868
FONTICELLA;Train Model Adjusted Occurences;1.0034796253530656
METHYLOVERSATILIS;Train Model Adjusted Occurences;0.0002778251984099974
PORPHYROBACTER;Train Model Adjusted Occurences;1.00179546015066
THERMOFLEXUS;Train Model Adjusted Occurences;1.0024931973410587
GRACILIBACILLUS;Train Model Adjusted Occurences;1.0058724178260983
ALKALIFLEXUS;Train Model Adjusted Occurences;1.0002497576636133
LEGIONELLALES_GENUS;Train Model Adjusted Occurences;1.0012175968384698
PELOMONAS;Train Model Adjusted Occurences;1.0000312873846264
FUSICATENIBACTER;Train Model Adjusted Occurences;1.5450407646672009
NOSTOC;Train Model Adjusted Occurences;1.006046912322434
CELERIBACTER;Train Model Adjusted Occurences;0.7513772431381796
ZYMOPHILUS;Train Model Adjusted Occurences;1.0000024819646238
NATRONOFLEXUS;Train Model Adjusted Occurences;0.5607267214995224
GLYCOMYCES;Train Model Adjusted Occurences;1.0005087751977466
YEOSUANA;Train Model Adjusted Occurences;5.785430406568537e-05
CENARCHAEUM;Train Model Adjusted Occurences;2.8008458019451732e-05
RHODOCYCLUS;Train Model Adjusted Occurences;8.841872366360803e-05
OXALOPHAGUS;Train Model Adjusted Occurences;2.491088932704555e-05
METHYLOVIRGULA;Train Model Adjusted Occurences;1.902542015797177e-06
SUBSAXIBACTER;Train Model Adjusted Occurences;4.537682777971952e-05
BLASTOCHLORIS;Train Model Adjusted Occurences;0.00013178832835236687
THIOCLAVA;Train Model Adjusted Occurences;4.2433771983790836e-05
CHLOROGLOEOPSIS;Train Model Adjusted Occurences;0.00022168827350088627
FIBROBACTERALES_GENUS;Train Model Adjusted Occurences;0.00010800712413772118
ANAPLASMA;Train Model Adjusted Occurences;2.3535205946129817e-05
LYSINIMONAS;Train Model Adjusted Occurences;9.021683415347356e-07
SIMIDUIA;Train Model Adjusted Occurences;1.0940794489731898e-05
VIBRIONIMONAS;Train Model Adjusted Occurences;6.16361597716164e-05
COMAMONADACEAE_GENUS;Train Model Adjusted Occurences;1.006100498192157e-05
ACTINOTALEA;Train Model Adjusted Occurences;7.822138106122756e-05
MOTILIBACTER;Train Model Adjusted Occurences;9.38251331920048e-05
FUSOBACTERIACEAE_GENUS;Train Model Adjusted Occurences;6.3603816668887945e-06
NOSTOCACEAE_GENUS;Train Model Adjusted Occurences;3.668806549496362e-05
LACHNOSPIRACEAE_UCG-006;Train Model Adjusted Occurences;6.31893288304472e-05
TYCHONEMA;Train Model Adjusted Occurences;2.278932988460927e-05
NITROSPIRALES_FW13_GENUS;Train Model Adjusted Occurences;2.9800598622710395e-05
RUBRIVIRGA;Train Model Adjusted Occurences;0.00045412892634288937
ASINIBACTERIUM;Train Model Adjusted Occurences;5.1425974256336104e-05
HAFNIA;Train Model Adjusted Occurences;5.254418469272104e-05
INHELLA;Train Model Adjusted Occurences;0.00018494495750864814
OSCILLATORIA_;Train Model Adjusted Occurences;4.4102304050975226e-05
CLAVIBACTER;Train Model Adjusted Occurences;5.9002807087149556e-05
ALIIVIBRIO;Train Model Adjusted Occurences;9.023284716586392e-06
LITOREIBACTER;Train Model Adjusted Occurences;8.301373610909712e-05
ISOSPHAERA;Train Model Adjusted Occurences;1.295356930112318e-05
HERBASPIRILLUM;Train Model Adjusted Occurences;0.0001433346750303599
VARIIBACTER;Train Model Adjusted Occurences;0.00014966252999082386
METHANOCALDOCOCCUS;Train Model Adjusted Occurences;1.943693303407823e-05
METHANOTHERMUS;Train Model Adjusted Occurences;0.00015523910597080304
NOVIHERBASPIRILLUM;Train Model Adjusted Occurences;1.8014059428510948e-05
ALKALISPIRILLUM;Train Model Adjusted Occurences;3.215233238253179e-05
CUPRIAVIDUS;Train Model Adjusted Occurences;8.16569659605193e-05
UREAPLASMA;Train Model Adjusted Occurences;6.463210202096482e-05
ACTINOMYCETACEAE_GENUS;Train Model Adjusted Occurences;1.5268737423482226e-05
PARVIMONAS;Train Model Adjusted Occurences;6.23890300706087e-05
HANSTRUEPERA;Train Model Adjusted Occurences;2.8208497816890193e-05
CATELLIGLOBOSISPORA;Train Model Adjusted Occurences;4.23591893800113e-05
HOLOPHAGAE_TPD-58_GENUS;Train Model Adjusted Occurences;4.249486052895421e-05
DETHIOSULFOVIBRIO;Train Model Adjusted Occurences;1.3920960848246727e-05
SEBALDELLA;Train Model Adjusted Occurences;2.3282373796004036e-05
THERMOPHILALES_GENUS;Train Model Adjusted Occurences;3.859649014110317e-05
OHTAEKWANGIA;Train Model Adjusted Occurences;0.00010548890657224863
RUBINISPHAERA;Train Model Adjusted Occurences;2.1007625955263287e-05
COBETIA;Train Model Adjusted Occurences;6.0155194248262545e-05
YOUNGIIBACTER;Train Model Adjusted Occurences;7.274211625230009e-05
PLESIOCYSTIS;Train Model Adjusted Occurences;3.700692173388975e-05
ENHYDROBACTER;Train Model Adjusted Occurences;1.7778160840104668e-05
DESULFARCULUS;Train Model Adjusted Occurences;5.853471157274415e-05
GEORGFUCHSIA;Train Model Adjusted Occurences;6.706626341212996e-05
VARIBACULUM;Train Model Adjusted Occurences;4.149430134281484e-05
CARDIOBACTERIUM;Train Model Adjusted Occurences;8.431405232922629e-05
BACILLI_GENUS;Train Model Adjusted Occurences;1.7008339212521567e-05
TEPIDIMONAS;Train Model Adjusted Occurences;0.0004165331922758586
ALLOBACILLUS;Train Model Adjusted Occurences;4.454882947498538e-05
MOBILUNCUS;Train Model Adjusted Occurences;4.2392180381656264e-05
PLANCTOMYCETES_VADINHA49_GENUS;Train Model Adjusted Occurences;6.54754801521773e-05
CHELATOCOCCUS;Train Model Adjusted Occurences;6.55830478921704e-05
MARICHROMATIUM;Train Model Adjusted Occurences;4.5855539752004404e-05
AQUIBACILLUS;Train Model Adjusted Occurences;1.2269451066127077e-05
DENITROBACTERIUM;Train Model Adjusted Occurences;9.97312366055117e-05
ACIDAMINOCOCCUS;Train Model Adjusted Occurences;0.0005992561694512233
ANAEROSALIBACTER;Train Model Adjusted Occurences;0.00010459548705199495
HIPPEA;Train Model Adjusted Occurences;0.00011704592061079211
SPOROLACTOBACILLUS;Train Model Adjusted Occurences;6.1789129709244675e-06
ASACCHAROSPORA;Train Model Adjusted Occurences;7.248853736152583e-05
PHOTORHABDUS;Train Model Adjusted Occurences;4.300375360237474e-05
NEISSERIA;Train Model Adjusted Occurences;3.900535248813064e-05
PHAEODACTYLIBACTER;Train Model Adjusted Occurences;0.0005982179297627788
FLAVITALEA;Train Model Adjusted Occurences;0.0001590491529958049
OTARIODIBACTER;Train Model Adjusted Occurences;7.354046315466434e-05
GLACIIMONAS;Train Model Adjusted Occurences;6.47377782954095e-05
SPOROLITUUS;Train Model Adjusted Occurences;4.7096131930213225e-05
THERMODESULFATATOR;Train Model Adjusted Occurences;2.332312866509291e-05
FAMILY_XIII_AD3011_GROUP;Train Model Adjusted Occurences;4.6205613065803536e-05
NITROSPIRILLUM;Train Model Adjusted Occurences;4.094181728544338e-05
SYNERGISTES;Train Model Adjusted Occurences;3.238190603331581e-05
ACTINOMYCETOSPORA;Train Model Adjusted Occurences;3.4647134880230746e-05
NIVEISPIRILLUM;Train Model Adjusted Occurences;0.0001667917782577355
LUTIMONAS;Train Model Adjusted Occurences;0.00011170190698761573
RUBRITALEA;Train Model Adjusted Occurences;7.964391239578816e-05
CYSTOBACTERACEAE_GENUS;Train Model Adjusted Occurences;7.758612084174388e-05
SPHINGOBACTERIIA_GENUS;Train Model Adjusted Occurences;3.346509889751506e-05
SPOROSALIBACTERIUM;Train Model Adjusted Occurences;6.71220309117845e-06
METHANOMETHYLOVORANS;Train Model Adjusted Occurences;8.038223087636354e-05
FLAVOBACTERIALES_GENUS;Train Model Adjusted Occurences;4.133350391337387e-05
AMINOBACTERIUM;Train Model Adjusted Occurences;7.41979953042815e-05
HALOCHROMATIUM;Train Model Adjusted Occurences;4.8302826355817174e-05
PLANOMICROBIUM;Train Model Adjusted Occurences;0.00014229813605837194
IMPERIALIBACTER;Train Model Adjusted Occurences;0.00027286616622701487
RUBRITEPIDA;Train Model Adjusted Occurences;0.00015499274212871228
SCHWARTZIA;Train Model Adjusted Occurences;2.5373980117656065e-05
DESULFOFRIGUS;Train Model Adjusted Occurences;5.506095508292508e-05
PSEUDENHYGROMYXA;Train Model Adjusted Occurences;4.161262973457623e-05
METHYLOBREVIS;Train Model Adjusted Occurences;0.00017304604421664038
OLIVIBACTER;Train Model Adjusted Occurences;0.00014075991180345637
SALINARIMONAS;Train Model Adjusted Occurences;0.00016144160652409312
THERMOTUNICA;Train Model Adjusted Occurences;5.086355030131662e-05
CRENOBACTER;Train Model Adjusted Occurences;8.290470685734519e-06
ORNITHOBACTERIUM;Train Model Adjusted Occurences;3.659410027168075e-05
DERMATOPHILACEAE_GENUS;Train Model Adjusted Occurences;7.403719487630855e-05
BULLEIDIA;Train Model Adjusted Occurences;6.077493676328097e-05
SYNECHOCOCCUS;Train Model Adjusted Occurences;6.495832587209704e-05
SCISCIONELLA;Train Model Adjusted Occurences;1.5903816856560095e-05
MICROVIRGULA;Train Model Adjusted Occurences;3.0084927585959098e-05
DESULFORHABDUS;Train Model Adjusted Occurences;8.266057509459523e-05
ROHOLTIELLA;Train Model Adjusted Occurences;0.0002005632523918166
SALINICOLA;Train Model Adjusted Occurences;6.13542310238524e-05
PARVIBACTER;Train Model Adjusted Occurences;8.191067517748785e-05
LACIBACTERIUM;Train Model Adjusted Occurences;2.533412544624032e-05
TROPICIMONAS;Train Model Adjusted Occurences;8.337850458950413e-05
SCHLEIFERIA;Train Model Adjusted Occurences;0.00018373727783731197
BIZIONIA;Train Model Adjusted Occurences;8.01947283797233e-05
HALIANGIACEAE_GENUS;Train Model Adjusted Occurences;0.00010341717368933523
FASTIDIOSIPILA;Train Model Adjusted Occurences;4.908011842012783e-05
ORNITHINIBACTER;Train Model Adjusted Occurences;0.00026670534822770264
FALSIRHODOBACTER;Train Model Adjusted Occurences;2.7789345530099176e-05
SANDARACINOBACTER;Train Model Adjusted Occurences;4.4944333964649225e-05
OCEANOSPIRILLUM;Train Model Adjusted Occurences;2.0011257748019443e-05
PSYCHROGLACIECOLA;Train Model Adjusted Occurences;2.0302837090035997e-05
PSYCHROMONAS;Train Model Adjusted Occurences;5.4620721282955254e-05
GALLIONELLACEAE_GENUS;Train Model Adjusted Occurences;0.0001282684743979523
GEOTOGA;Train Model Adjusted Occurences;8.916294718257917e-06
HELIOPHILUM;Train Model Adjusted Occurences;1.2901532862864351e-05
THIOBACA;Train Model Adjusted Occurences;9.490986556892622e-05
MICROBISPORA;Train Model Adjusted Occurences;3.3693195839172574e-05
HALOCOCCUS;Train Model Adjusted Occurences;5.0922548524345856e-05
BREVIBACTERIACEAE_GENUS;Train Model Adjusted Occurences;2.82882083768414e-05
BEIJERINCKIACEAE_GENUS;Train Model Adjusted Occurences;5.72556384128009e-05
ALTEROMONAS;Train Model Adjusted Occurences;0.00021393319531626265
SHARPEA;Train Model Adjusted Occurences;0.00014343357392904155
PSEUDONOCARDIACEAE_GENUS;Train Model Adjusted Occurences;5.793538723361524e-05
ALIICOCCUS;Train Model Adjusted Occurences;6.180576810198464e-05
IGNATZSCHINERIA;Train Model Adjusted Occurences;5.353335827157704e-05
MACELLIBACTEROIDES;Train Model Adjusted Occurences;7.626214218781069e-05
NONLABENS;Train Model Adjusted Occurences;5.882567838856991e-05
LARKINELLA;Train Model Adjusted Occurences;2.421016149874969e-05
PSEUDORHODOBACTER;Train Model Adjusted Occurences;7.509204572916928e-05
LYNGBYA;Train Model Adjusted Occurences;5.822085427506507e-05
SALINITHRIX;Train Model Adjusted Occurences;0.0002726487316841997
SLACKIA;Test Real Occurences;0.0
GILVIMARINUS;Test Real Occurences;0.0
DRACONIBACTERIUM;Test Real Occurences;2.0
DESULFOMONILE;Test Real Occurences;1.0
STREPTOBACILLUS;Test Real Occurences;0.0
STREPTOCOCCUS;Test Real Occurences;12.0
OSCILLIBACTER;Test Real Occurences;4.0
[EUBACTERIUM]_NODATUM_GROUP;Test Real Occurences;5.0
LEPTOTRICHIA;Test Real Occurences;4.0
MICROBACTERIUM;Test Real Occurences;1.0
KOCURIA;Test Real Occurences;2.0
VERRUCOMICROBIA_WCHB1-41_GENUS;Test Real Occurences;4.0
ERYSIPELOTRICHACEAE_GENUS;Test Real Occurences;2.0
KLEBSIELLA;Test Real Occurences;1.0
ODORIBACTER;Test Real Occurences;0.0
TEPIDISPHAERA;Test Real Occurences;1.0
LACTOBACILLUS;Test Real Occurences;25.0
ACETITOMACULUM;Test Real Occurences;4.0
PALUDIBACTER;Test Real Occurences;2.0
NOVOSPHINGOBIUM;Test Real Occurences;0.0
SACCHAROFERMENTANS;Test Real Occurences;6.0
PSEUDOMONAS;Test Real Occurences;15.0
STACKEBRANDTIA;Test Real Occurences;0.0
STAPHYLOCOCCUS;Test Real Occurences;10.0
MICROVIRGA;Test Real Occurences;1.0
FINEGOLDIA;Test Real Occurences;1.0
SUTTONELLA;Test Real Occurences;0.0
BACILLUS;Test Real Occurences;16.0
PSYCHROBACTER;Test Real Occurences;4.0
BRACHYBACTERIUM;Test Real Occurences;2.0
HALIANGIUM;Test Real Occurences;4.0
WINOGRADSKYELLA;Test Real Occurences;1.0
PAENIBACILLUS;Test Real Occurences;19.0
THERMOMICROBIA_JG30-KF-CM45_GENUS;Test Real Occurences;1.0
THERMOBACILLUS;Test Real Occurences;1.0
MARINOMONAS;Test Real Occurences;1.0
JEOTGALICOCCUS;Test Real Occurences;0.0
KTEDONOBACTERIA_C0119_GENUS;Test Real Occurences;0.0
WEEKSELLA;Test Real Occurences;0.0
WEISSELLA;Test Real Occurences;4.0
LEUCONOSTOC;Test Real Occurences;6.0
ALISTIPES;Test Real Occurences;7.0
ACIDIPILA;Test Real Occurences;14.0
MOGIBACTERIUM;Test Real Occurences;3.0
CHRISTENSENELLACEAE_R-7_GROUP;Test Real Occurences;38.0
RUMINOCOCCUS;Test Real Occurences;8.0
PREVOTELLA;Test Real Occurences;33.0
ACHOLEPLASMA;Test Real Occurences;4.0
METHANOBACTERIUM;Test Real Occurences;2.0
AQUISPHAERA;Test Real Occurences;0.0
PEPTOCLOSTRIDIUM;Test Real Occurences;0.0
PSEUDOXANTHOMONAS;Test Real Occurences;0.0
DEFLUVIICOCCUS;Test Real Occurences;2.0
CORYNEBACTERIUM;Test Real Occurences;13.0
GAMMAPROTEOBACTERIA_GENUS;Test Real Occurences;6.0
NOVISPIRILLUM;Test Real Occurences;0.0
PSEUDOBUTYRIVIBRIO;Test Real Occurences;1.0
THIOPSEUDOMONAS;Test Real Occurences;0.0
ALGORIPHAGUS;Test Real Occurences;1.0
ECTOTHIORHODOSPIRA;Test Real Occurences;2.0
SULFOLOBUS;Test Real Occurences;0.0
RHIZOBACTER;Test Real Occurences;0.0
NITROSPIRA;Test Real Occurences;2.0
TISSIERELLA;Test Real Occurences;6.0
EPULOPISCIUM;Test Real Occurences;1.0
ML635J-21_GENUS;Test Real Occurences;0.0
PEDOBACTER;Test Real Occurences;1.0
COLWELLIA;Test Real Occurences;0.0
ARSENOPHONUS;Test Real Occurences;0.0
SPOROSARCINA;Test Real Occurences;3.0
ALLOCHROMATIUM;Test Real Occurences;0.0
SOLITALEA;Test Real Occurences;2.0
MARIPROFUNDUS;Test Real Occurences;0.0
RHODANOBACTER;Test Real Occurences;0.0
POLYANGIUM;Test Real Occurences;0.0
DEPENDENTIAE_[TM6]_GENUS;Test Real Occurences;1.0
TOMITELLA;Test Real Occurences;0.0
PLASTICICUMULANS;Test Real Occurences;0.0
TRANQUILLIMONAS;Test Real Occurences;0.0
PARABURKHOLDERIA;Test Real Occurences;0.0
RUMINOCOCCACEAE_GENUS;Test Real Occurences;63.0
TURICELLA;Test Real Occurences;0.0
ERYSIPELATOCLOSTRIDIUM;Test Real Occurences;3.0
PSEUDOCLAVIBACTER;Test Real Occurences;1.0
PYRINOMONAS;Test Real Occurences;3.0
METHYLOCYSTIS;Test Real Occurences;2.0
EDAPHOBACTER;Test Real Occurences;0.0
TURICIBACTER;Test Real Occurences;0.0
HELIORESTIS;Test Real Occurences;0.0
UNDIBACTERIUM;Test Real Occurences;4.0
ANAEROTRUNCUS;Test Real Occurences;8.0
DESULFUROMONAS;Test Real Occurences;3.0
BUTYRICIMONAS;Test Real Occurences;0.0
BUTYRIVIBRIO;Test Real Occurences;4.0
ARMATIMONADETES_GENUS;Test Real Occurences;0.0
SUCCINIVIBRIO;Test Real Occurences;0.0
RUMINOCLOSTRIDIUM;Test Real Occurences;0.0
RHIZOBIALES_GENUS;Test Real Occurences;4.0
LYSOBACTER;Test Real Occurences;3.0
METHANOMASSILIICOCCUS;Test Real Occurences;0.0
FILOMICROBIUM;Test Real Occurences;0.0
TEPIDIMICROBIUM;Test Real Occurences;1.0
BACTEROIDETES_SB-5_GENUS;Test Real Occurences;2.0
CLOSTRIDIUM;Test Real Occurences;15.0
PERSICITALEA;Test Real Occurences;0.0
THERMOBIFIDA;Test Real Occurences;1.0
GLUCONOBACTER;Test Real Occurences;0.0
ORIBACTERIUM;Test Real Occurences;1.0
FLAVOBACTERIUM;Test Real Occurences;4.0
STREPTOMYCES;Test Real Occurences;6.0
STOMATOBACULUM;Test Real Occurences;0.0
PAPILLIBACTER;Test Real Occurences;2.0
BREVIBACTERIUM;Test Real Occurences;3.0
TREPONEMA;Test Real Occurences;16.0
ANAEROBACTERIUM;Test Real Occurences;26.0
PSEUDOHONGIELLA;Test Real Occurences;0.0
RIKENELLACEAE_RC9_GUT_GROUP;Test Real Occurences;12.0
RUMINICLOSTRIDIUM;Test Real Occurences;25.0
BACTEROIDES;Test Real Occurences;21.0
DELTAPROTEOBACTERIA_GENUS;Test Real Occurences;6.0
CLOSTRIDIALES_GENUS;Test Real Occurences;4.0
AMORPHUS;Test Real Occurences;1.0
RUBRICOCCUS;Test Real Occurences;0.0
BHARGAVAEA;Test Real Occurences;0.0
TURNERIELLA;Test Real Occurences;0.0
RHODOVIBRIO;Test Real Occurences;0.0
CHLOROBIALES_OPB56_GENUS;Test Real Occurences;6.0
PECTINATUS;Test Real Occurences;0.0
TAONELLA;Test Real Occurences;0.0
METHYLOTENERA;Test Real Occurences;1.0
TERRIBACILLUS;Test Real Occurences;0.0
BACTEROIDETES_VC2.1_BAC22_GENUS;Test Real Occurences;0.0
ARCICELLA;Test Real Occurences;1.0
KANGIELLA;Test Real Occurences;0.0
SYNTROPHOMONAS;Test Real Occurences;3.0
DIPLORICKETTSIA;Test Real Occurences;1.0
HYDROGENOANAEROBACTERIUM;Test Real Occurences;0.0
DYSGONOMONAS;Test Real Occurences;3.0
ALLOFUSTIS;Test Real Occurences;0.0
ELIZABETHKINGIA;Test Real Occurences;0.0
PEPTOCOCCACEAE_GENUS;Test Real Occurences;0.0
IGNAVIBACTERIUM;Test Real Occurences;0.0
ARMATIMONAS;Test Real Occurences;2.0
ALLOPREVOTELLA;Test Real Occurences;7.0
ANAEROVORAX;Test Real Occurences;12.0
RHODOCYTOPHAGA;Test Real Occurences;0.0
LUTEIBACTER;Test Real Occurences;0.0
DESULFOCOCCUS;Test Real Occurences;1.0
BARNESIELLA;Test Real Occurences;22.0
DESULFOTOMACULUM;Test Real Occurences;1.0
CLOSTRIDIALES_VADINBB60_GROUP_GENUS;Test Real Occurences;17.0
ACIDITERRIMONAS;Test Real Occurences;14.0
TELMATOBACTER;Test Real Occurences;0.0
BLASTOCATELLA;Test Real Occurences;3.0
HYPHOMICROBIUM;Test Real Occurences;0.0
DOMIBACILLUS;Test Real Occurences;0.0
MARIVIRGA;Test Real Occurences;2.0
PEDIOCOCCUS;Test Real Occurences;1.0
LUEDEMANNELLA;Test Real Occurences;2.0
VICTIVALLIS;Test Real Occurences;3.0
FUSIBACTER;Test Real Occurences;4.0
INQUILINUS;Test Real Occurences;0.0
RHODOBIACEAE_GENUS;Test Real Occurences;0.0
ERYSIPELOTHRIX;Test Real Occurences;6.0
TRUEPERELLA;Test Real Occurences;0.0
LYSINIBACILLUS;Test Real Occurences;1.0
ACIDISPHAERA;Test Real Occurences;4.0
SPHINGOBACTERIUM;Test Real Occurences;5.0
HYMENOBACTER;Test Real Occurences;3.0
METHYLOCAPSA;Test Real Occurences;0.0
STENOTROPHOMONAS;Test Real Occurences;1.0
BACTEROIDETES_GENUS;Test Real Occurences;0.0
THERMOANAEROBACULUM;Test Real Occurences;3.0
ACTINOBACULUM;Test Real Occurences;0.0
FENOLLARIA;Test Real Occurences;0.0
GALLIBACTERIUM;Test Real Occurences;0.0
SEGETIBACTER;Test Real Occurences;0.0
GEMMATIMONAS;Test Real Occurences;10.0
PALUDIBACULUM;Test Real Occurences;4.0
ALLOIOCOCCUS;Test Real Occurences;1.0
OCEANIBACULUM;Test Real Occurences;0.0
OLSENELLA;Test Real Occurences;4.0
LACHNOSPIRACEAE_NK3A20_GROUP;Test Real Occurences;7.0
TYZZERELLA;Test Real Occurences;5.0
CROCINITOMIX;Test Real Occurences;1.0
SUCCINATIMONAS;Test Real Occurences;0.0
LABILITHRIX;Test Real Occurences;1.0
OCEANOBACILLUS;Test Real Occurences;2.0
HALOCELLA;Test Real Occurences;3.0
MARINILABIACEAE_GENUS;Test Real Occurences;0.0
BLAUTIA;Test Real Occurences;9.0
RHODOSPIRILLACEAE_GENUS;Test Real Occurences;9.0
SODALIS;Test Real Occurences;0.0
THERMOGUTTA;Test Real Occurences;0.0
ROSEOMONAS;Test Real Occurences;1.0
ANAEROSPOROBACTER;Test Real Occurences;3.0
PROSTHECOMICROBIUM;Test Real Occurences;1.0
MOBILITALEA;Test Real Occurences;1.0
ARCOBACTER;Test Real Occurences;2.0
LEWINELLA;Test Real Occurences;2.0
HALISCOMENOBACTER;Test Real Occurences;1.0
